net,sta,lat,lon,on,off,area,z,e,n,elev
5B,1107,54.31067175,-117.2548085,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,945.0941409
5B,1108,54.31028212,-117.2415007,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,934.7797215
5B,1109,54.31783501,-117.2031772,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,927.684314
5B,1111,54.31490414,-117.2577062,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,952.3804356
5B,1112,54.31916139,-117.250625,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,943.0038242
5B,1113,54.31869364,-117.2332175,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,922.2312663
5B,1114,54.31566315,-117.2259632,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,893.8181782
5B,1116,54.32107300,-117.1941199,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,953.642494
5B,1118,54.32101127,-117.2575391,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,941.5411893
5B,1119,54.32580151,-117.2488684,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,915.7594002
5B,1120,54.32548250,-117.2339721,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,892.9384854
5B,1121,54.32568165,-117.2228806,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,893.1410789
5B,1122,54.32557809,-117.2010869,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,938.1258872
5B,1123,54.33190199,-117.1951982,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,934.1789143
5B,1125,54.32582871,-117.283464,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,996.1728222
5B,1126,54.32569093,-117.271351,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,968.9822651
5B,1127,54.33009769,-117.259546,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,910.2135159
5B,1128,54.33216240,-117.2524773,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,885.4758585
5B,1129,54.33161729,-117.2310026,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,887.5875111
5B,1130,54.33291227,-117.2214613,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,879.2204019
5B,1131,54.33407002,-117.208806,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,891.4422747
5B,1132,54.33736719,-117.2017779,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,922.245553
5B,1133,54.33565537,-117.186869,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,915.9165259
5B,1135,54.33074886,-117.277631,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,998.7604554
5B,1136,54.33438160,-117.2667686,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,916.5379957
5B,1138,54.33661480,-117.2450058,2016-10-10,2016-12-17,fox_creek,DHZ,DH2,DH1,878.0062057
5B,1139,54.33683711,-117.2306784,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,870.409318
5B,1140,54.34078628,-117.2214266,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,865.0423586
5B,1141,54.34076947,-117.2119165,2016-10-13,2016-12-17,fox_creek,DHZ,DH2,DH1,878.3909736
5B,1142,54.34065978,-117.1936505,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,897.5829437
5B,1143,54.33721513,-117.288612,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,897.2434002
5B,1146,54.34361713,-117.260429,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,904.5094851
5B,1147,54.34017632,-117.2528754,2016-10-13,2016-12-17,fox_creek,DHZ,DH2,DH1,889.7191056
5B,1148,54.34085328,-117.2418929,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,878.4935293
5B,1149,54.34424470,-117.2338092,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,883.9646566
5B,1150,54.34661319,-117.2197108,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,850.6198449
5B,1151,54.34802591,-117.2033566,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,901.5887507
5B,1152,54.34821106,-117.1923293,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,883.2369757
5B,1153,54.34467359,-117.2839096,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,885.5378148
5B,1155,54.34532236,-117.2731511,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,901.6953273
5B,1157,54.34845396,-117.2474433,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,885.4492998
5B,1158,54.34859851,-117.2389043,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,868.2630282
5B,1159,54.35429136,-117.2267862,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,853.1734118
5B,1160,54.35215836,-117.2098806,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,877.3359033
5B,1161,54.35572563,-117.2002859,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,855.6898629
5B,1164,54.35196450,-117.2851313,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,892.5487487
5B,1165,54.35215124,-117.2653367,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,880.7295645
5B,1166,54.35600907,-117.2585821,2016-10-13,2016-12-17,fox_creek,DHZ,DH2,DH1,865.7903096
5B,1167,54.35443354,-117.2457928,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,860.4932931
5B,1168,54.35959964,-117.2365651,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,850.7175023
5B,1171,54.35905945,-117.1975796,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,850.2665414
5B,1174,54.35595798,-117.2742571,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,865.9689722
5B,1175,54.36004593,-117.2678489,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,868.3545197
5B,1176,54.36040314,-117.2537877,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,859.0146767
5B,1177,54.36534982,-117.241614,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,847.8454946
5B,1178,54.36601683,-117.2307385,2016-10-13,2016-12-17,fox_creek,DHZ,DH2,DH1,856.7814241
5B,1179,54.36439481,-117.2197106,2016-01-01,2017-12-31,fox_creek,DHZ,DH2,DH1,848.6253091
5B,1180,54.36679009,-117.2094717,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,846.2371268
5B,1182,54.36464147,-117.2783567,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,864.9864379
5B,1186,54.37099386,-117.2323825,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,857.1894956
5B,1187,54.37101788,-117.2206263,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,863.55989
5B,1188,54.37177548,-117.2094898,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,855.6197745
5B,1190,54.37118343,-117.2783891,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,921.2848149
5B,1192,54.37235705,-117.2560266,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,871.6572646
5B,1193,54.37550790,-117.2467117,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,885.2823629
5B,1194,54.37707434,-117.2320553,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,866.9068108
5B,1209,54.31122819,-117.2144315,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,948.3078397
5B,1210,54.31968744,-117.214234,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,905.7351444
5B,1215,54.31863762,-117.2674119,2016-10-26,2016-12-01,fox_creek,DHZ,DH2,DH1,971.4435008
